Date,FromCurrency,ToCurrency,Exchange
2015-01-01,AUD,AUD,1.00000
2015-01-01,AUD,CAD,0.94834
2015-01-01,AUD,EUR,0.67435
2015-01-01,AUD,GBP,0.52525
2015-01-01,AUD,USD,0.81873
2015-01-01,CAD,AUD,1.05447
2015-01-01,CAD,CAD,1.00000
2015-01-01,CAD,EUR,0.71109
2015-01-01,CAD,GBP,0.55386
2015-01-01,CAD,USD,0.86333
2015-01-01,EUR,AUD,1.4829
2015-01-01,EUR,CAD,1.4063
2015-01-01,EUR,EUR,1.0
2015-01-01,EUR,GBP,0.7789
2015-01-01,EUR,USD,1.2141
2015-01-01,GBP,AUD,1.90384
2015-01-01,GBP,CAD,1.80549
2015-01-01,GBP,EUR,1.28386
2015-01-01,GBP,GBP,1.00000
2015-01-01,GBP,USD,1.55874
2015-01-01,USD,AUD,1.22140
2015-01-01,USD,CAD,1.15831
2015-01-01,USD,EUR,0.82366
2015-01-01,USD,GBP,0.64155
2015-01-01,USD,USD,1.00000
2015-01-02,AUD,AUD,1.00000
2015-01-02,AUD,CAD,0.94798
2015-01-02,AUD,EUR,0.67381
2015-01-02,AUD,GBP,0.52557
2015-01-02,AUD,USD,0.81147
2015-01-02,CAD,AUD,1.05487
2015-01-02,CAD,CAD,1.00000
2015-01-02,CAD,EUR,0.71078
2015-01-02,CAD,GBP,0.55441
2015-01-02,CAD,USD,0.85600
2015-01-02,EUR,AUD,1.4841
2015-01-02,EUR,CAD,1.4069
2015-01-02,EUR,EUR,1.0
2015-01-02,EUR,GBP,0.78
2015-01-02,EUR,USD,1.2043
2015-01-02,GBP,AUD,1.90269
2015-01-02,GBP,CAD,1.80372
2015-01-02,GBP,EUR,1.28205
2015-01-02,GBP,GBP,1.00000
2015-01-02,GBP,USD,1.54397
2015-01-02,USD,AUD,1.23233
2015-01-02,USD,CAD,1.16823
2015-01-02,USD,EUR,0.83036
2015-01-02,USD,GBP,0.64768
2015-01-02,USD,USD,1.00000
2015-01-03,AUD,AUD,1.00000
2015-01-03,AUD,CAD,0.94798
2015-01-03,AUD,EUR,0.67381
2015-01-03,AUD,GBP,0.52557
2015-01-03,AUD,USD,0.81147
2015-01-03,CAD,AUD,1.05487
2015-01-03,CAD,CAD,1.00000
2015-01-03,CAD,EUR,0.71078
2015-01-03,CAD,GBP,0.55441
2015-01-03,CAD,USD,0.85600
2015-01-03,EUR,AUD,1.4841
2015-01-03,EUR,CAD,1.4069
2015-01-03,EUR,EUR,1.0
2015-01-03,EUR,GBP,0.78
2015-01-03,EUR,USD,1.2043
2015-01-03,GBP,AUD,1.90269
2015-01-03,GBP,CAD,1.80372
2015-01-03,GBP,EUR,1.28205
2015-01-03,GBP,GBP,1.00000
2015-01-03,GBP,USD,1.54397
2015-01-03,USD,AUD,1.23233
2015-01-03,USD,CAD,1.16823
2015-01-03,USD,EUR,0.83036
2015-01-03,USD,GBP,0.64768
2015-01-03,USD,USD,1.00000
2015-01-04,AUD,AUD,1.00000
2015-01-04,AUD,CAD,0.94798
2015-01-04,AUD,EUR,0.67381
2015-01-04,AUD,GBP,0.52557
2015-01-04,AUD,USD,0.81147
2015-01-04,CAD,AUD,1.05487
2015-01-04,CAD,CAD,1.00000
2015-01-04,CAD,EUR,0.71078
2015-01-04,CAD,GBP,0.55441
2015-01-04,CAD,USD,0.85600
2015-01-04,EUR,AUD,1.4841
2015-01-04,EUR,CAD,1.4069
2015-01-04,EUR,EUR,1.0
2015-01-04,EUR,GBP,0.78
2015-01-04,EUR,USD,1.2043
2015-01-04,GBP,AUD,1.90269
2015-01-04,GBP,CAD,1.80372
2015-01-04,GBP,EUR,1.28205
2015-01-04,GBP,GBP,1.00000
2015-01-04,GBP,USD,1.54397
