OrderKey,LineNumber,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost
233000,0,1483,2,376.6,376.6,173.18
233100,0,499,1,148.5,130.68,75.705
233100,1,1512,3,334.6,287.756,153.874
233100,2,1490,3,180.6,176.988,92.078
233200,0,2512,3,181.986,172.8867,60.298
233200,1,424,2,404.925,388.728,206.445
233200,2,1548,3,372.4,331.436,171.248
233200,3,312,2,246.05,246.05,125.4475
233300,0,665,3,153,146.88,78
233300,1,623,5,3748.5,3298.68,1241.955
233300,2,114,7,224.991,195.74217,74.547
233400,0,173,1,85.405,75.1564,43.5385
233400,1,1592,3,23.387,20.81443,10.751
233400,2,349,1,574.5,517.05,292.89
233400,3,540,2,3748.5,3748.5,1241.955
233401,0,1640,3,29.757,29.757,9.854
233700,0,447,3,344.85,317.262,175.815
233700,1,1532,2,392,364.56,180.264
233800,0,486,2,103.5,90.045,52.77
233900,0,495,10,208.5,208.5,106.305
233900,1,643,3,253.5,253.5,116.58
234000,0,1543,7,562.8,484.008,186.466
234000,1,558,4,448.5,444.015,148.59
234000,2,187,3,123.405,123.405,40.888
234000,3,1487,1,373.8,325.206,171.892
234100,0,660,2,238.5,214.65,109.68
234101,0,2477,2,189,189,86.913
234101,1,1409,4,824.6,824.6,273.21
234101,2,1463,4,410.2,389.69,188.636
234101,3,1084,1,710.6,611.116,235.433
234101,4,1578,6,284.7,259.077,94.328
234101,5,1676,3,8.091,7.20099,3.717
234400,0,1426,3,824.6,824.6,273.21
234400,1,1440,4,264.6,254.016,121.674
234500,0,581,5,688.5,681.615,228.12
234500,1,131,6,190,176.7,96.8715
234600,0,1409,1,824.6,750.386,273.21
234600,1,2113,7,457.2,457.2,233.091
234601,0,1435,2,410.2,360.976,188.636
234700,0,1707,3,63.117,58.06764,29.025
234700,1,1156,2,1760,1566.4,583.121
234700,2,425,2,553.5,553.5,282.195
234700,3,453,3,344.85,310.365,175.815
234800,0,1547,3,357,357,164.178
234800,1,1675,1,6.201,6.201,2.853
234801,0,5,2,19.413,16.69518,9.9
234801,2,1024,1,205.59,189.1428,94.545
235100,0,1523,1,418.6,410.228,192.5
235100,1,2004,1,125.991,109.61217,64.233
235100,2,460,3,449.85,395.868,229.35
235100,3,1235,7,921.8,811.184,423.907
