OrderKey,CustomerKey,StoreKey,OrderDate,DeliveryDate,CurrencyCode
233000,1855811,585,2021-05-18,2021-05-18,USD
233100,1345436,550,2021-05-19,2021-05-19,USD
233200,926315,370,2021-05-20,2021-05-20,GBP
233300,116391,60,2021-05-21,2021-05-21,AUD
233400,1918280,999999,2021-05-22,2021-05-24,USD
233401,1683355,999999,2021-05-22,2021-05-24,USD
233700,1850215,605,2021-05-25,2021-05-25,USD
233800,1997045,999999,2021-05-26,2021-05-31,USD
233900,465101,230,2021-05-27,2021-05-27,EUR
234000,1854262,610,2021-05-28,2021-05-28,USD
234100,1322735,500,2021-05-29,2021-05-29,USD
234101,1601843,999999,2021-05-29,2021-05-31,USD
234400,1739643,650,2021-06-01,2021-06-01,USD
234500,837297,999999,2021-06-02,2021-06-04,EUR
234600,354778,90,2021-06-03,2021-06-03,CAD
234601,381935,74,2021-06-03,2021-06-03,CAD
234700,1726370,999999,2021-06-04,2021-06-09,USD
234800,1377621,450,2021-06-05,2021-06-05,USD
234801,350950,999999,2021-06-05,2021-06-09,CAD
235100,1501830,999999,2021-06-08,2021-06-12,USD
235200,968684,999999,2021-06-09,2021-06-12,GBP
235201,1529154,510,2021-06-09,2021-06-09,USD
235300,44738,35,2021-06-10,2021-06-10,AUD
235301,905649,999999,2021-06-10,2021-06-12,GBP
235400,1853019,570,2021-06-11,2021-06-11,USD
235500,875316,320,2021-06-12,2021-06-12,EUR
235501,1069798,390,2021-06-12,2021-06-12,GBP
235502,757402,300,2021-06-12,2021-06-12,EUR
235800,2097061,999999,2021-06-15,2021-06-17,USD
235900,533082,270,2021-06-16,2021-06-16,EUR
235901,505161,255,2021-06-16,2021-06-16,EUR
236000,1874219,999999,2021-06-17,2021-06-22,USD
236001,1398616,540,2021-06-17,2021-06-17,USD
236100,1606060,605,2021-06-18,2021-06-18,USD
236200,968716,999999,2021-06-19,2021-06-26,GBP
236201,503582,240,2021-06-19,2021-06-19,EUR
236202,647814,150,2021-06-19,2021-06-19,EUR
236500,826898,999999,2021-06-22,2021-06-24,EUR
236600,364198,74,2021-06-23,2021-06-23,CAD
236601,1541805,430,2021-06-23,2021-06-23,USD
236700,1973598,999999,2021-06-24,2021-06-28,USD
236701,1975545,999999,2021-06-24,2021-06-27,USD
236800,1714085,660,2021-06-25,2021-06-25,USD
236900,586839,999999,2021-06-26,2021-06-30,EUR
236901,1346916,480,2021-06-26,2021-06-26,USD
236902,269709,100,2021-06-26,2021-06-26,CAD
237200,924003,370,2021-06-29,2021-06-29,GBP
237300,54457,35,2021-06-30,2021-06-30,AUD
237301,1731564,605,2021-06-30,2021-06-30,USD
237400,1492831,440,2021-07-01,2021-07-01,USD
237401,1446435,540,2021-07-01,2021-07-01,USD
237500,862233,340,2021-07-02,2021-07-02,EUR
237600,244888,999999,2021-07-03,2021-07-08,CAD
237601,1681885,540,2021-07-03,2021-07-03,USD
237602,82158,999999,2021-07-03,2021-07-08,AUD
237800,1801369,999999,2021-07-05,2021-07-12,USD
237900,532337,240,2021-07-06,2021-07-06,EUR
238000,1448378,605,2021-07-07,2021-07-07,USD
238001,660103,999999,2021-07-07,2021-07-12,EUR
238100,1948604,480,2021-07-08,2021-07-08,USD
238101,1409980,999999,2021-07-08,2021-07-11,USD
238200,991979,999999,2021-07-09,2021-07-10,GBP
238300,61881,60,2021-07-10,2021-07-10,AUD
238301,1378926,620,2021-07-10,2021-07-10,USD
238302,1309135,605,2021-07-10,2021-07-10,USD
238500,774934,300,2021-07-12,2021-07-12,EUR
238600,378445,80,2021-07-13,2021-07-13,CAD
238700,1796486,999999,2021-07-14,2021-07-19,USD
238701,281722,100,2021-07-14,2021-07-14,CAD
238800,1701220,500,2021-07-15,2021-07-15,USD
238801,1153237,999999,2021-07-15,2021-07-17,GBP
238900,502555,999999,2021-07-16,2021-07-19,EUR
239000,2083910,610,2021-07-17,2021-07-17,USD
239001,1409980,999999,2021-07-17,2021-07-20,USD
239002,1873443,999999,2021-07-17,2021-07-21,USD
239200,1166770,400,2021-07-19,2021-07-19,GBP
239300,1715385,999999,2021-07-20,2021-07-23,USD
239400,1518119,560,2021-07-21,2021-07-21,USD
239401,1243365,999999,2021-07-21,2021-07-25,USD
239500,717599,290,2021-07-22,2021-07-22,EUR
239501,258417,999999,2021-07-22,2021-07-25,CAD
239600,258319,999999,2021-07-23,2021-07-28,CAD
239700,1439172,470,2021-07-24,2021-07-24,USD
239701,1942380,570,2021-07-24,2021-07-24,USD
240400,1204630,550,2021-07-31,2021-07-31,USD
240800,1251683,610,2021-08-04,2021-08-04,USD
240900,596562,999999,2021-08-05,2021-08-09,EUR
241000,1238475,670,2021-08-06,2021-08-06,USD
241100,1383908,999999,2021-08-07,2021-08-11,USD
241101,306845,80,2021-08-07,2021-08-07,CAD
241300,1748981,999999,2021-08-09,2021-08-11,USD
241400,1536053,430,2021-08-10,2021-08-10,USD
241500,1040190,420,2021-08-11,2021-08-11,GBP
241501,1311626,610,2021-08-11,2021-08-11,USD
241600,371314,100,2021-08-12,2021-08-12,CAD
241601,1832021,999999,2021-08-12,2021-08-17,USD
241700,1927119,540,2021-08-13,2021-08-13,USD
241800,1732425,999999,2021-08-14,2021-08-17,USD
241801,480148,190,2021-08-14,2021-08-14,EUR
241802,416457,220,2021-08-14,2021-08-14,EUR
242000,1649539,999999,2021-08-16,2021-08-19,USD
242100,1864367,470,2021-08-17,2021-08-17,USD
242200,471466,999999,2021-08-18,2021-08-19,EUR
242300,1987779,650,2021-08-19,2021-08-19,USD
242301,1652130,999999,2021-08-19,2021-08-21,USD
242400,1701685,999999,2021-08-20,2021-08-22,USD
242500,960116,390,2021-08-21,2021-08-21,GBP
242501,1138388,360,2021-08-21,2021-08-21,GBP
242502,1947458,999999,2021-08-21,2021-08-26,USD
242700,1908104,999999,2021-08-23,2021-08-27,USD
242800,1868144,490,2021-08-24,2021-08-24,USD
242900,260341,90,2021-08-25,2021-08-25,CAD
242901,253486,74,2021-08-25,2021-08-25,CAD
243000,1833624,430,2021-08-26,2021-08-26,USD
243001,1420181,560,2021-08-26,2021-08-26,USD
243100,1764086,999999,2021-08-27,2021-09-01,USD
243200,576773,999999,2021-08-28,2021-08-29,EUR
243201,361272,80,2021-08-28,2021-08-28,CAD
243202,646570,120,2021-08-28,2021-08-28,EUR
243400,1732511,660,2021-08-30,2021-08-30,USD
243500,969429,999999,2021-08-31,2021-09-03,GBP
243600,155204,50,2021-09-01,2021-09-01,AUD
243601,1129816,999999,2021-09-01,2021-09-06,GBP
243700,1233391,530,2021-09-02,2021-09-02,USD
243701,1640950,999999,2021-09-02,2021-09-06,USD
243702,1626718,450,2021-09-02,2021-09-02,USD
243800,817954,999999,2021-09-03,2021-09-04,EUR
243900,203171,100,2021-09-04,2021-09-04,CAD
243901,1359717,510,2021-09-04,2021-09-04,USD
243902,1555350,999999,2021-09-04,2021-09-08,USD
244100,1361118,450,2021-09-06,2021-09-06,USD
244200,459553,999999,2021-09-07,2021-09-10,EUR
244300,1369053,510,2021-09-08,2021-09-08,USD
244301,804582,999999,2021-09-08,2021-09-10,EUR
244400,1955997,999999,2021-09-09,2021-09-12,USD
244401,1390195,999999,2021-09-09,2021-09-12,USD
244402,2059561,590,2021-09-09,2021-09-09,USD
244500,1013230,360,2021-09-10,2021-09-10,GBP
244600,4078,40,2021-09-11,2021-09-11,AUD
244601,1747977,610,2021-09-11,2021-09-11,USD
244602,1280113,430,2021-09-11,2021-09-11,USD
244800,868625,330,2021-09-13,2021-09-13,EUR
244900,339799,999999,2021-09-14,2021-09-18,CAD
245000,1699804,440,2021-09-15,2021-09-15,USD
245001,1241916,999999,2021-09-15,2021-09-19,USD
245100,1579755,999999,2021-09-16,2021-09-20,USD
245101,1989778,480,2021-09-16,2021-09-16,USD
245102,181370,10,2021-09-16,2021-09-16,AUD
245200,574863,210,2021-09-17,2021-09-17,EUR
245300,2052717,999999,2021-09-18,2021-09-20,USD
245301,821455,310,2021-09-18,2021-09-18,EUR
245302,1965065,999999,2021-09-18,2021-09-21,USD
245303,480398,220,2021-09-18,2021-09-18,EUR
245600,46211,50,2021-09-21,2021-09-21,AUD
245700,2061809,570,2021-09-22,2021-09-22,USD
245701,572379,270,2021-09-22,2021-09-22,EUR
245800,854854,999999,2021-09-23,2021-09-26,EUR
245801,1464097,450,2021-09-23,2021-09-23,USD
245802,1843918,550,2021-09-23,2021-09-23,USD
245900,271169,80,2021-09-24,2021-09-24,CAD
245901,660739,170,2021-09-24,2021-09-24,EUR
246000,1582464,999999,2021-09-25,2021-09-28,USD
246001,1607165,590,2021-09-25,2021-09-25,USD
246002,1325279,470,2021-09-25,2021-09-25,USD
246003,396367,100,2021-09-25,2021-09-25,CAD
246200,411205,999999,2021-09-27,2021-09-30,EUR
246300,1564576,620,2021-09-28,2021-09-28,USD
246301,1224589,470,2021-09-28,2021-09-28,USD
