ProductKey,ProductCode,ProductName,Manufacturer,Brand,Color,WeightUnit,Weight,Cost,Price,CategoryKey,CategoryName,SubCategoryKey,SubCategoryName
1,0101001,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",Contoso,Silver,ounces,4.8,6.62,12.99,1,Audio,101,MP4&MP3
2,0101002,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",Contoso,Blue,ounces,4.1,6.62,12.99,1,Audio,101,MP4&MP3
3,0101003,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Contoso,White,ounces,4.5,7.4,14.52,1,Audio,101,MP4&MP3
4,0101004,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",Contoso,Silver,ounces,4.5,11,21.57,1,Audio,101,MP4&MP3
5,0101005,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso,Red,ounces,2.4,11,21.57,1,Audio,101,MP4&MP3
6,0101006,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso,Black,ounces,8.8,11,21.57,1,Audio,101,MP4&MP3
7,0101007,Contoso 2G MP3 Player E200 Blue,"Contoso, Ltd",Contoso,Blue,ounces,2.1,11,21.57,1,Audio,101,MP4&MP3
8,0101008,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",Contoso,Silver,ounces,5.6,30.58,59.99,1,Audio,101,MP4&MP3
9,0101009,Contoso 4G MP3 Player E400 Black,"Contoso, Ltd",Contoso,Black,ounces,2.1,30.58,59.99,1,Audio,101,MP4&MP3
10,0101010,Contoso 4G MP3 Player E400 Green,"Contoso, Ltd",Contoso,Green,ounces,11,30.58,59.99,1,Audio,101,MP4&MP3
11,0101011,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Contoso,Orange,ounces,14.1,30.58,59.99,1,Audio,101,MP4&MP3
12,0101012,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",Contoso,Blue,ounces,7.4,35.72,77.68,1,Audio,101,MP4&MP3
13,0101013,Contoso 4GB Flash MP3 Player E401 Black,"Contoso, Ltd",Contoso,Black,ounces,2.6,35.72,77.68,1,Audio,101,MP4&MP3
14,0101014,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",Contoso,Silver,ounces,8,35.72,77.68,1,Audio,101,MP4&MP3
15,0101015,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",Contoso,White,ounces,2.1,35.72,77.68,1,Audio,101,MP4&MP3
16,0101016,Contoso 8GB Super-Slim MP3/Video Player M800 White,"Contoso, Ltd",Contoso,White,ounces,11,50.56,109.95,1,Audio,101,MP4&MP3
17,0101017,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",Contoso,Red,ounces,11,50.56,109.95,1,Audio,101,MP4&MP3
