OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
233000,0,2021-05-18,2021-05-18,1855811,585,1483,2,376.6,376.6,173.18,USD,1.00000
233100,0,2021-05-19,2021-05-19,1345436,550,499,1,148.5,130.68,75.705,USD,1.00000
233100,1,2021-05-19,2021-05-19,1345436,550,1512,3,334.6,287.756,153.874,USD,1.00000
233100,2,2021-05-19,2021-05-19,1345436,550,1490,3,180.6,176.988,92.078,USD,1.00000
233200,0,2021-05-20,2021-05-20,926315,370,2512,3,181.986,172.8867,60.298,GBP,0.70802
233200,1,2021-05-20,2021-05-20,926315,370,424,2,404.925,388.728,206.445,GBP,0.70802
233200,2,2021-05-20,2021-05-20,926315,370,1548,3,372.4,331.436,171.248,GBP,0.70802
233200,3,2021-05-20,2021-05-20,926315,370,312,2,246.05,246.05,125.4475,GBP,0.70802
233300,0,2021-05-21,2021-05-21,116391,60,665,3,153,146.88,78,AUD,1.28799
233300,1,2021-05-21,2021-05-21,116391,60,623,5,3748.5,3298.68,1241.955,AUD,1.28799
233300,2,2021-05-21,2021-05-21,116391,60,114,7,224.991,195.74217,74.547,AUD,1.28799
233400,0,2021-05-22,2021-05-24,1918280,999999,173,1,85.405,75.1564,43.5385,USD,1.00000
233400,1,2021-05-22,2021-05-24,1918280,999999,1592,3,23.387,20.81443,10.751,USD,1.00000
233400,2,2021-05-22,2021-05-24,1918280,999999,349,1,574.5,517.05,292.89,USD,1.00000
233400,3,2021-05-22,2021-05-24,1918280,999999,540,2,3748.5,3748.5,1241.955,USD,1.00000
233401,0,2021-05-22,2021-05-24,1683355,999999,1640,3,29.757,29.757,9.854,USD,1.00000
233700,0,2021-05-25,2021-05-25,1850215,605,447,3,344.85,317.262,175.815,USD,1.00000
233700,1,2021-05-25,2021-05-25,1850215,605,1532,2,392,364.56,180.264,USD,1.00000
233800,0,2021-05-26,2021-05-31,1997045,999999,486,2,103.5,90.045,52.77,USD,1.00000
